time_s,throttle_pct,road_speed_kmh,gear,gear_selector,clutch_pct
0.0000,0.0,0,0,N,0
0.0200,0.0,0,0,N,0
0.0400,0.0,0,0,N,0
0.0600,0.0,0,0,N,0
0.0800,0.0,0,0,N,0
0.1000,0.0,0,0,N,0
0.1200,0.0,0,0,N,0
0.1400,0.0,0,0,N,0
0.1600,0.0,0,0,N,0
0.1800,0.0,0,0,N,0
0.2000,0.0,0,0,N,0
0.2200,0.0,0,0,N,0
0.2400,0.0,0,0,N,0
0.2600,0.0,0,0,N,0
0.2800,0.0,0,0,N,0
0.3000,0.0,0,0,N,0
0.3200,0.0,0,0,N,0
0.3400,0.0,0,0,N,0
0.3600,0.0,0,0,N,0
0.3800,0.0,0,0,N,0
0.4000,0.0,0,0,N,0
0.4200,0.0,0,0,N,0
0.4400,0.0,0,0,N,0
0.4600,0.0,0,0,N,0
0.4800,0.0,0,0,N,0
0.5000,0.0,0,0,N,0
0.5200,0.0,0,0,N,0
0.5400,0.0,0,0,N,0
0.5600,0.0,0,0,N,0
0.5800,0.0,0,0,N,0
0.6000,0.0,0,0,N,0
0.6200,0.0,0,0,N,0
0.6400,0.0,0,0,N,0
0.6600,0.0,0,0,N,0
0.6800,0.0,0,0,N,0
0.7000,0.0,0,0,N,0
0.7200,0.0,0,0,N,0
0.7400,0.0,0,0,N,0
0.7600,0.0,0,0,N,0
0.7800,0.0,0,0,N,0
0.8000,0.0,0,0,N,0
0.8200,0.0,0,0,N,0
0.8400,0.0,0,0,N,0
0.8600,0.0,0,0,N,0
0.8800,0.0,0,0,N,0
0.9000,0.0,0,0,N,0
0.9200,0.0,0,0,N,0
0.9400,0.0,0,0,N,0
0.9600,0.0,0,0,N,0
0.9800,0.0,0,0,N,0
1.0000,100.0,0,0,N,0
1.0200,100.0,0,0,N,0
1.0400,100.0,0,0,N,0
1.0600,100.0,0,0,N,0
1.0800,100.0,0,0,N,0
1.1000,100.0,0,0,N,0
1.1200,100.0,0,0,N,0
1.1400,100.0,0,0,N,0
1.1600,100.0,0,0,N,0
1.1800,100.0,0,0,N,0
1.2000,100.0,0,0,N,0
1.2200,100.0,0,0,N,0
1.2400,100.0,0,0,N,0
1.2600,100.0,0,0,N,0
1.2800,100.0,0,0,N,0
1.3000,100.0,0,0,N,0
1.3200,100.0,0,0,N,0
1.3400,100.0,0,0,N,0
1.3600,100.0,0,0,N,0
1.3800,100.0,0,0,N,0
1.4000,100.0,0,0,N,0
1.4200,100.0,0,0,N,0
1.4400,100.0,0,0,N,0
1.4600,100.0,0,0,N,0
1.4800,100.0,0,0,N,0
1.5000,100.0,0,0,N,0
1.5200,100.0,0,0,N,0
1.5400,100.0,0,0,N,0
1.5600,100.0,0,0,N,0
1.5800,100.0,0,0,N,0
1.6000,100.0,0,0,N,0
1.6200,100.0,0,0,N,0
1.6400,100.0,0,0,N,0
1.6600,100.0,0,0,N,0
1.6800,100.0,0,0,N,0
1.7000,100.0,0,0,N,0
1.7200,100.0,0,0,N,0
1.7400,100.0,0,0,N,0
1.7600,100.0,0,0,N,0
1.7800,100.0,0,0,N,0
1.8000,100.0,0,0,N,0
1.8200,100.0,0,0,N,0
1.8400,100.0,0,0,N,0
1.8600,100.0,0,0,N,0
1.8800,100.0,0,0,N,0
1.9000,100.0,0,0,N,0
1.9200,100.0,0,0,N,0
1.9400,100.0,0,0,N,0
1.9600,100.0,0,0,N,0
1.9800,100.0,0,0,N,0
2.0000,100.0,0,0,N,0
2.0200,100.0,0,0,N,0
2.0400,100.0,0,0,N,0
2.0600,100.0,0,0,N,0
2.0800,100.0,0,0,N,0
2.1000,100.0,0,0,N,0
2.1200,100.0,0,0,N,0
2.1400,100.0,0,0,N,0
2.1600,100.0,0,0,N,0
2.1800,100.0,0,0,N,0
2.2000,100.0,0,0,N,0
2.2200,100.0,0,0,N,0
2.2400,100.0,0,0,N,0
2.2600,100.0,0,0,N,0
2.2800,100.0,0,0,N,0
2.3000,100.0,0,0,N,0
2.3200,100.0,0,0,N,0
2.3400,100.0,0,0,N,0
2.3600,100.0,0,0,N,0
2.3800,100.0,0,0,N,0
2.4000,100.0,0,0,N,0
2.4200,100.0,0,0,N,0
2.4400,100.0,0,0,N,0
2.4600,100.0,0,0,N,0
2.4800,100.0,0,0,N,0
2.5000,0.0,0,0,N,0
2.5200,0.0,0,0,N,0
2.5400,0.0,0,0,N,0
2.5600,0.0,0,0,N,0
2.5800,0.0,0,0,N,0
2.6000,0.0,0,0,N,0
2.6200,0.0,0,0,N,0
2.6400,0.0,0,0,N,0
2.6600,0.0,0,0,N,0
2.6800,0.0,0,0,N,0
2.7000,0.0,0,0,N,0
2.7200,0.0,0,0,N,0
2.7400,0.0,0,0,N,0
2.7600,0.0,0,0,N,0
2.7800,0.0,0,0,N,0
2.8000,0.0,0,0,N,0
2.8200,0.0,0,0,N,0
2.8400,0.0,0,0,N,0
2.8600,0.0,0,0,N,0
2.8800,0.0,0,0,N,0
2.9000,0.0,0,0,N,0
2.9200,0.0,0,0,N,0
2.9400,0.0,0,0,N,0
2.9600,0.0,0,0,N,0
2.9800,0.0,0,0,N,0
